province,year,week,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors
09 Espaillat,2019,11,0.9474726503015392,0.5960005388447143,0.7413556669415831,20
09 Espaillat,2019,12,1.146699469260639,0.9474726503015392,0.5960005388447143,20
09 Espaillat,2019,13,1.2870563635089218,1.146699469260639,0.9474726503015392,20
09 Espaillat,2019,14,1.170850420367466,1.2870563635089218,1.146699469260639,20
09 Espaillat,2019,15,0.8775978820330361,1.170850420367466,1.2870563635089218,20
09 Espaillat,2019,16,0.7671397351567806,0.8775978820330361,1.170850420367466,20
09 Espaillat,2019,17,0.6956539564223951,0.7671397351567806,0.8775978820330361,20
09 Espaillat,2019,18,1.3701984132707536,0.6956539564223951,0.7671397351567806,20
09 Espaillat,2019,19,1.2621513838315073,1.3701984132707536,0.6956539564223951,20
09 Espaillat,2019,20,1.4170546679374616,1.2621513838315073,1.3701984132707536,20
09 Espaillat,2019,21,1.486600425153892,1.4170546679374616,1.2621513838315073,20
09 Espaillat,2019,22,1.498480966569581,1.486600425153892,1.4170546679374616,20
09 Espaillat,2019,23,1.789932562090132,1.498480966569581,1.486600425153892,20
09 Espaillat,2019,24,2.476766620043686,1.789932562090132,1.498480966569581,20
09 Espaillat,2019,25,3.087379484337329,2.476766620043686,1.789932562090132,20
09 Espaillat,2019,26,2.994515764734847,3.087379484337329,2.476766620043686,20
09 Espaillat,2019,27,4.662737887738782,2.994515764734847,3.087379484337329,20
09 Espaillat,2019,28,6.613250851863624,4.662737887738782,2.994515764734847,20
09 Espaillat,2019,29,7.521002281578753,6.613250851863624,4.662737887738782,20
09 Espaillat,2019,30,7.7327331676994735,7.521002281578753,6.613250851863624,20
09 Espaillat,2019,31,8.520325034986158,7.7327331676994735,7.521002281578753,20
09 Espaillat,2019,32,7.648403706027236,8.520325034986158,7.7327331676994735,20
09 Espaillat,2019,33,7.854693258302867,7.648403706027236,8.520325034986158,20
09 Espaillat,2019,34,9.074972872676815,7.854693258302867,7.648403706027236,20
09 Espaillat,2019,35,7.966468411458638,9.074972872676815,7.854693258302867,20
09 Espaillat,2019,36,6.624069812228372,7.966468411458638,9.074972872676815,20
09 Espaillat,2019,37,7.832353063759863,6.624069812228372,7.966468411458638,20
09 Espaillat,2019,38,7.631992897715003,7.832353063759863,6.624069812228372,20
