z1,z2,z3,z4,z5,z6,province,year,split
-0.3901674,-0.69937205,-0.4408493,-0.67103904,-0.27837637,0.6002749,30 Hato Mayor,2015,train
1.2841948,-0.3131246,0.6045901,-0.17413116,-0.14595082,-1.0607659,30 Hato Mayor,2016,train
-0.1896409,0.70737684,-0.12835038,0.89050764,-0.5672191,-1.7371484,30 Hato Mayor,2017,train
-1.2419083,0.3994035,-0.6218724,0.4193903,-0.7525109,-0.45802498,30 Hato Mayor,2018,train
-0.1203176,-0.1534028,0.298235,0.17668746,-0.8237696,0.27959797,30 Hato Mayor,2019,train
0.30321854,0.19728957,0.012171343,1.031894,-0.9139222,-1.7654396,30 Hato Mayor,2020,val
-0.47705483,1.4220375,0.23341581,1.0155962,-0.7908966,0.41979858,30 Hato Mayor,2021,val
-2.0162158,-0.54307765,0.82784593,-0.49257174,0.348627,2.0790803,31 San José de Ocoa,2015,train
0.17260957,0.72041786,3.2182577,0.65512747,-0.7809975,-0.54987824,31 San José de Ocoa,2016,train
-1.4899049,1.066347,1.7463113,1.3645605,0.50883967,-0.4885015,31 San José de Ocoa,2017,train
-2.5696118,0.51592004,0.78760237,0.5432031,1.1530645,1.0746921,31 San José de Ocoa,2018,train
-1.5473627,0.38748214,2.4210098,0.18925014,-0.05784325,1.9850011,31 San José de Ocoa,2019,train
-0.8528761,0.3544539,2.235378,0.9079438,0.26758286,-0.57533634,31 San José de Ocoa,2020,val
-2.052159,0.7846925,1.8420724,0.97218424,0.2823212,-0.24289082,31 San José de Ocoa,2021,val
-0.41156465,-1.295268,-0.9115057,-1.5476458,2.2700086,0.8614346,32 Santo Domingo,2015,train
1.4752887,-0.7505969,0.46110103,-1.5953993,2.1294987,-0.8267608,32 Santo Domingo,2016,train
0.41369444,0.2672451,-0.5592307,-1.0305988,2.5451124,-1.3619795,32 Santo Domingo,2017,train
-0.7244689,-0.12971313,-1.3282943,-1.5094804,2.5280607,-0.4659354,32 Santo Domingo,2018,train
0.1710324,-0.547489,0.056680173,-1.4531968,1.8803579,0.5037488,32 Santo Domingo,2019,train
1.0129917,-0.22279917,-0.3745019,-1.0555323,2.6536512,-1.3012567,32 Santo Domingo,2020,val
-0.098139435,-0.1103741,-0.91880405,-1.2777319,2.7974756,-0.8645565,32 Santo Domingo,2021,val
